"deflection","curvature","resistivity","Hardness low side","Hardness high side"
20.84,39.84,14.98,21.88,25.87
20.89,39.94,14.91,22.03,25.97
21.13,40.12,15.58,22.13,26.11
20.42,39.78,14.73,21.46,25.74
21.29,40.31,15.56,22.65,26.22
21.08,39.98,15.19,22.22,25.91
21.31,40.23,15.37,22.16,26.28
21.77,40.12,15.57,22.2,26.16
20.82,39.93,15.71,22.09,25.95
21.31,39.95,15.06,22.12,25.93
21.22,40.03,15.39,21.79,26.04
20.5,39.86,15.11,22.19,25.8
21.07,40.22,15.48,21.93,26.21
21.28,40.11,15.12,22.3,26.09
21.46,40,15.29,21.87,26.06
21.09,40.04,14.56,22.14,25.88
21.01,39.95,15.1,21.93,25.9
21.07,40.11,15.48,21.98,26.06
20.62,40.08,15.26,21.68,26.16
21.1,40.08,14.89,22,26.3
21.22,40.11,15.38,22.06,26.13
20.74,40.05,15.65,22.09,25.94
20.76,39.98,14.98,22.29,26.03
21,40.11,15.17,22.04,25.99
20.57,39.73,14.35,22.02,25.8
20.78,39.83,15.27,21.6,25.89
20.96,40.03,15.26,21.98,25.94
21.14,39.93,14.98,21.84,25.98
